,full_name,spec,class,ad,q,a,e,dv,per,price,profit,moid,diameter,profitable
670,2107 Ilmari (1941 VA),S,MBA,2.833323804128627,2.420061468980995,2.626692636554811,0.07866591039172166,10.110631,1554.935259974476,8.201681826733905e-40,6.282784310847801e-41,1.4272,16.66,0
669,1350 Rosselia (1934 TA),Sa,MBA,3.112270110448195,2.601049761645511,2.856659936046853,0.08947868494107976,10.121185,1763.54376904063,8.005993938438598e-40,6.115125077528264e-41,1.60295,20.822,0
667,1348 Michel (1933 FD),Sl,MBA,3.174429501895403,2.408816693595461,2.791623097745432,0.1371268221914099,9.950479,1703.662646283293,7.667277451593433e-40,5.963044233918989e-41,1.42686,16.29,0
666,1642 Hill (1951 RU),S,MBA,2.934037541000109,2.569899831890537,2.751968686445323,0.06615949354785786,10.574998,1667.491615084936,7.596892849055572e-40,5.554137721986196e-41,1.58951,16.24,0
664,2089 Cetacea (1977 VF),Sq,MBA,2.929828502009585,2.137686750206672,2.533757626108128,0.1563175861101697,10.305788,1473.146811597519,7.43387900456711e-40,5.590871423876051e-41,1.20081,16.123,0
663,391 Ingeborg (1894 BE),S,MCA,3.02881789060184,1.611553089258212,2.320185489930026,0.3054205811334444,10.400655,1290.869936690095,6.931102488539675e-40,5.179597580474541e-41,0.644476,15.751,0
660,4649 Sumoto (1936 YD),S,MBA,3.07744789868098,2.40820260164978,2.74282525016538,0.121999259156384,10.843973,1659.188141932092,6.189604308767238e-40,4.412916155754281e-41,1.44221,15.168,0
659,1088 Mitaka (1927 WA),S,MBA,2.632111568262142,1.771107597209916,2.201609582736029,0.1955396583035901,8.487324,1193.188028035951,6.151731317162633e-40,5.701512145980329e-41,0.780079,15.137,0
656,2185 Guangdong (1965 WO),S,MBA,3.143588538406292,2.27690550101171,2.710247019709001,0.1598900452785366,9.924834,1629.715290147359,5.800200261336333e-40,4.5263078360289404e-41,1.28812,14.843,0
655,4327 Ries (1982 KB1),Sk,MBA,3.397293279595079,2.147369588127942,2.772331433861511,0.2254282579998289,10.511267,1686.033310760886,5.749936815586523e-40,4.231772145338439e-41,1.21296,14.8,0
654,1228 Scabiosa (1931 TU),S,MBA,2.884197087081517,2.651916333968699,2.768056710525108,0.04195736890606427,10.198138,1682.135212475884,5.61693992227378e-40,4.259884116989836e-41,1.66215,14.685,0
652,496 Gryphia (1902 KH),S,MBA,2.373356667169147,2.023840096042673,2.19859838160591,0.07948622496282812,8.832898,1190.740931818405,5.29952332850649e-40,4.696623503411526e-41,1.04487,14.403,0
650,782 Montefiore (1914 UK),Sl,MBA,2.264594566997308,2.095314721560819,2.179954644279063,0.03882646042217824,9.056473,1175.627167616213,5.033657363329093e-40,4.3427512813084414e-41,1.11094,14.158,0
649,353 Ruperto-Carola (1893 F),S,MBA,3.631863704495645,1.839238045254345,2.735550874874995,0.3276535040356757,8.787413,1652.591904464513,4.893127541447049e-40,4.345379401467898e-41,0.856571,14.025,0
648,1680 Per Brahe (1942 CH),S,MBA,3.222652920402111,2.227772527693881,2.725212724047996,0.1825326118451495,9.489676,1643.232587074435,4.825409568480913e-40,3.9440851496548995e-41,1.21543,13.96,0
647,1553 Bauersfelda (1940 AD),S,MBA,3.197795360182338,2.613943359100411,2.905869359641374,0.1004608137569515,10.15784,1809.30821612117,4.633071134883796e-40,3.524616305114684e-41,1.62924,13.772,0
646,870 Manto (1917 BX),S,MBA,2.936553456679983,1.706216832635419,2.321385144657701,0.2650005379064279,8.298162,1291.871234897493,4.543828247403634e-40,4.3186205944305e-41,0.693023,13.683,0
